run_id,date,status,stage,method,label_ratio,seed,variant,backbone,crop_size,config_path,git_commit,command,validation_miou9,test_miou9,affected_miou,state_f1,boundary_f1,pseudo_miou,coverage,peak_vram_gb,checkpoint_path,output_path,notes
20260625_data_audit_na_s0_mask_pairing_failed,2026-06-25,failed,M1,data_audit,NA,0,mask_pairing,NA,NA,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\audit_floodnet.py --data-root 'F:\数据集\Flood\FloodNet_Track1_Merged' --output-dir 'reports\floodnet_track1_audit_v1',,,,,,,,,,reports/floodnet_track1_audit_v1,Failed safely before report generation: masks use ID_lab.png rather than ID.png; pairing logic was corrected without modifying data.
20260625_data_audit_na_s0_dimension_gate_failed,2026-06-25,failed,M1,data_audit,NA,0,dimension_gate,NA,NA,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\audit_floodnet.py --data-root 'F:\数据集\Flood\FloodNet_Track1_Merged' --output-dir 'reports\floodnet_track1_audit_v1',,,,,,,,,,reports/floodnet_track1_audit_v1,Failed safely on the previous equal-dimension assumption: 59 labeled JPGs are 4592x3072 while masks are 4000x3000; D025 records mask-grid alignment.
20260625_data_audit_na_s0_track1_v1,2026-06-25,completed,M1,data_audit,NA,0,track1_v1,NA,NA,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\audit_floodnet.py --data-root 'F:\数据集\Flood\FloodNet_Track1_Merged' --output-dir 'reports\floodnet_track1_audit_v1',,,,,,,,,,reports/floodnet_track1_audit_v1,"Passed: 398 labeled, 1047 unlabeled, 450 official validation, 448 official test; zero exact duplicates; three reviewed same-scene candidates; inventory semantic SHA-256 47cd4ff39c2a5ab551434a58ddbe04ef0db14842d50befaba4ada3a9b1be2322."
20260625_split_100_s20260624_local_v1,2026-06-25,completed,M1,data_split,100,20260624,local_278_60_60_v1,NA,NA,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\create_local_split.py --inventory 'reports\floodnet_track1_audit_v1\inventory.csv' --near-duplicate-review 'reports\floodnet_track1_audit_v1\near_duplicate_candidates.csv' --output-dir 'splits\local_278_60_60_v1',,,,,,,,,,splits/local_278_60_60_v1,Passed: exact 278/60/60 disjoint split; 7049/7050 grouped; 7081/7083 forced to Local Train due overlap with official-unlabeled 7082; manifest SHA-256 4bed3f9acccbf40572e3f5d10e9292f4598816e4dd97668abf0fe13580c96f4b.
20260625_week1_local_tests_na_s0_aug_inference_v1,2026-06-25,completed,M1,unit_tests,NA,0,augmentation_sliding_window_v1,NA,512,,60b2143+dirty,& 'D:\Anaconda3\python.exe' -m unittest discover -s tests -v,,,,,,,,,,,"Passed 23 tests covering archive safety, audit, split, Dataset alignment, metrics, paired transforms, class-aware crop, sliding coverage and probability fusion."
20260625_data_smoke_100_s20260625_local_v1,2026-06-25,completed,M1,data_smoke,100,20260625,three_split_cpu_v1,NA,512,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\smoke_data_pipeline.py --data-root 'F:\数据集\Flood\FloodNet_Track1_Merged' --manifest 'splits\local_278_60_60_v1\manifest.csv' --output 'reports\week1_data_smoke_v1.json' --crop-size 512 --batch-size 2 --seed 20260625,,,,,,,,,,reports/week1_data_smoke_v1.json,Passed CPU DataLoader smoke for train/validation/test with float32 RGB batches and int64 masks at 512x512; no training or model forward.
20260625_environment_audit_na_s0_cpu_local,2026-06-25,completed,M1,environment_audit,NA,0,cpu_local,NA,NA,,60b2143+dirty,"& 'D:\Anaconda3\python.exe' -c ""import importlib.util, torch; ...""",,,,,,,,,,reports/week1_environment_audit.md,"CPU-only PyTorch 2.3.0; transformers, safetensors and accelerate absent; no local SegFormer-B0 cache; no packages or weights downloaded."
20260625_overfit_manifest_100_s20260625_per_image_affected_failed,2026-06-25,failed,M1,overfit_manifest,100,20260625,per_image_affected_constraint,NA,512,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\create_overfit_manifest.py --inventory 'reports\floodnet_track1_audit_v1\inventory.csv' --local-train 'splits\local_278_60_60_v1\train.csv' --output-dir 'splits\overfit4_v1',,,,,,,,,,splits/overfit4_v1,Failed safely before output creation: an unnecessary per-image affected-class constraint conflicted with selecting one background/water sample for all-ten-class coverage; corrected to require affected classes across the four-image set.
20260625_overfit_manifest_100_s20260625_all_classes_v1,2026-06-25,completed,M1,overfit_manifest,100,20260625,all_classes_v1,NA,512,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\create_overfit_manifest.py --inventory 'reports\floodnet_track1_audit_v1\inventory.csv' --local-train 'splits\local_278_60_60_v1\train.csv' --output-dir 'splits\overfit4_v1',,,,,,,,,,splits/overfit4_v1,"Selected Local Train IDs 7298, 9027, 7261 and 7332; the four-image set covers all ten semantic classes including affected IDs 1 and 3."
20260625_training_framework_na_s0_supervised_v1,2026-06-25,completed,M1,unit_tests,NA,0,supervised_framework_v1,SegFormer-B0,512,configs/overfit4_segformer_b0.yaml,60b2143+dirty,& 'D:\Anaconda3\python.exe' -m unittest discover -s tests -v,,,,,,,,,,,"Passed 30 tests including config validation, deterministic overfit crop, toy-model backward/optimizer/checkpoint, objective gate, dependency error, data, metrics and sliding inference; no FloodNet training."
